title,time,place,content,picture,_id
목성과 금성의 근접 현상,3/2 PM 08:00,서쪽하늘,"2022년 5월 1일, 새벽 동쪽 하늘(태양의 서쪽 방향)에서 만난 금성과  목성은 태양을 기준으로 서로 반대방향으로 움직입니다. 태양쪽으로 향한 금성은 태양 뒤를 지나 태양의 동쪽 방향으로 넘어오기 시작했고, 태양의 반대방향으로 향한 목성은 하늘을 거의 한 바퀴 돌아 이번엔 태양의 동쪽 방향에서 태양을 향해 접근 중입니다.
지난 만남 때, 새벽 하늘에서 각거리 13.8'(보름달 각지름의 절반 수준)까지 가까워졌던 금성과 목성은 2023년 3월 2일 29.4'(보름달 각지름 수준)의 각거리로 저녁 서쪽 하늘에서 만납니다. 
2032년 2월 7일까지 이보다 가까워지지 않습니다. ",목성과금성의근접현상2.jpg,
거문고자리  유성우 극대기,4/23 AM 09:35,높은 동쪽 하늘,"북동쪽 거문고자리의 1등성 베가성(직녀성) 부근을 복사점으로 해서 펼쳐질 별똥별은 밤하늘에 달이 떠 있지 않아 더욱 또렷하게 관측할 수 있을 것으로 기대된다.  베가는 오후 9 시경 북동쪽에서 떠올라 23일 오전 4 시까지 하늘에 가까운 지점까지 올라간다.
거문고자리 유성우는 인간에게 목격된 가장 오래된 별똥별 쇼 중에 하나다. 기원전 687년 중국에서 처음 기록된 이후 무려 2700년 동안 관측돼왔다.",거문고자리유성우.jpg,
물병자리 에타 유성우 극대기,5/5 PM 10:40,낮은 동쪽 하늘,"물병자리 에타(η Aqr)는 천구 적도 근처의 별자리인 물병자리 방향에 있는 항성이다. ‘에타’는 바이어 명명법에 따른 표기로, 물병자리 영역 내 별을 밝기 순으로 정렬하여 붙인 이름이다. 겉보기 등급은 4.04로 맨눈으로 볼 수 있다. 에타별까지의 거리는 히파르코스 위성이 수집한 시차 자료에 따르면 168광년이다.
물병자리 에타 근처에서 에타별의 이름을 빌린 물병자리 에타 유성우가 발생한다.
에타별의 분광형은 B9IV-Vn으로 이 별의 중심핵에 있던 수소가 모두 소진되어 주계열성을 떠나 준거성 상태가 되었음을 뜻한다. 에타의 자전 속도는 초당 291 킬로미터로 우리 태양의 초당 2킬로미터에 비하면 145배 넘게 빠르게 회전하고 있다. 따라서 에타별의 적도는 납작하게 부풀어 올라 있으며 극반지름에 비해 적도반지름은 24퍼센트나 더 크다. 또한 분광형 뒤에 붙은 ‘n'은 빠른 자전 때문에 스펙트럼상 흡수선이 흐릿해지는 도플러 효과가 일어남을 뜻한다.",물병자리에타유성우.jpg,
페르세우스자리 유성우의 극대기,8/13 PM 04:29,밤하늘,"페르세우스자리 유성우는 유성우 중에 시율(HR, 시간당 관측되는 유성의 개수)이 큰 편이다.페르세우스자리 유성우의 복사점(유성들이 시작되는 것처럼 보이는 위치)을 따라 명명되었다. 유성우는 지구가 유성체의 흐름을 통과할 때 발생한다. 이 유성우의 흐름은 페르세우스 구름으로 불리며 스위프트-터틀 혜성의 궤도를 따라 뻗어있게 된다. 구름은 혜성이 태양 근처를 통과할 때 방출하는 입자로 구성된다. 대부분의 구름속의 먼지는 약 천 년 전에 생성되었으나 1862년의 접근에서 흐름속으로 방출된 더 새로운 먼지도 있다. 이 새로운 먼지 덩어리에서 나오는 유성의 비율은 정상보다 높다.
유성우는 7월 중순부터 관측된다. 주요 활동은 8월 8일에서 14일경이며 극대기는 8월 13일이다. 극대기에 시간당 관측되는 유성우의 비율(ZHR)은 60 이상이다. 이들은 하늘을 가로질러서 보일 수도 있지만 혜성 스위프트 터틀의 궤도의 경로 때문에 북반구에서만 7일간 관측된다.",페르세우스유성우.jpg,
토성 관측,8/27 PM,동쪽 하늘,"8월 27일, 서울특별시 오후 11시 52분(GMT 14:52)에 토성은 태양에 의해 완전히 조명되고 진도 0.4로 가장 밝게 빛나는 충에 도달합니다. 토성은 육안으로 보기에 노란 점처럼 보이는 물병자리에 배치됩니다. 쌍안경으로 토성의 타원형을 볼 수 있지만 고리를 보려면 최소 4인치의 작은 망원경이 필요합니다.
충에서 며칠 동안 관찰자들은 실리거 효과(Seeliger Effect)로 알려진 토성의 고리가 비정상적으로 밝아지는 것을 볼 수 있습니다. 충 동안 태양은 우리의 유리한 지점에서 토성을 직접 비추므로 행성과 그 고리의 입자는 완전히 조명되고 그림자가 생기지 않습니다. 게다가, 햇빛은 행성의 고리에 있는 입자와 상호 작용하고 여러 번 반사하여 고리를 더욱 밝게 만듭니다.",토성.jpg,
연중 가장 큰 보름달,8/31 PM,밤하늘,"평균적으로 달과 지구사이의 거리가 384,400km이지만 
이날 357,300km로 평균 이상으로 가까워져 평소보다 더 큰 보름달
블루문 한달에 보름달이 2번 떴을 때 두 번째로 뜬 보름달을 의미한다.
달의 공전 주기는 27.3일이고 달의 위상변화 주기는 29.5일 이다. 그런데 양력에서 한 달은 2월을 제외 하고 30, 31일이다. 이 때문에 한 달의 1일경에 보름달이 뜨면 30일이나 31일경에 다시 보름 달이 뜨는 경우가 생길 수 있다. 보름달을 풍요의 상징으로 보는 동양과 달리 서양에서는 보름달을 불길한 것으로 인식하여 한 달에 두 번이나 뜨는 보름달을 재수 없는 것으로 인식하여 블루문이라고 칭하게 되었다. 어원적으로 보면, 'blue'와 같은 발음인 옛 영어 단어 'belewe'에는 '배신하다(betray)'라는 뜻이 있는데, 두 번째 뜨는 보름달을 '배신자의 달(betrayer moon)'이라 칭한 게 지금과 같이 불길한 두 번째 보름달로서의 '블루문' 개념을 낳았다고 전해지는 것이다.",보름달.jpg,
금환일식,not korea,not korea,"일식은 달이 태양의 전부 또는 일부를 가리는 천문현상을 말한다. 지구 표면에서 볼 때의 태양과 달의 시직경이 비슷하고, 지구가 태양 주위를 도는 궤도면(황도)과 달이 지구 주위를 도는 궤도면(백도)이 거의 일치하여 달이 지구 주위를 돌면서 태양의 앞쪽으로 지나 태양을 가리는 경우가 생기는데, 이 때를 일식이라고 한다. 태양이 달에 완전히 가리면 개기일식, 일부만을 가리면 부분일식, 해와 달이 겹쳐졌으나 달이 해를 전부 가리지 못해서 반지 모양으로 가려지면 금환식 또는 금환일식이라 한다.
이번 식은 미국과 남미 지역에서 관찰 가능하다.",금환일식.jpg,
오리온자리 유성우 극대기,10/22 AM 08:48,동쪽 하늘,"혜성은 먼지가 섞여 있는 눈덩이가 해 둘레를 공전하는 것으로 볼 수 있다. 혜성이 궤도를 돌다가 근일점을 통과할 무렵이면, 얼음이 녹고 증발하여 엄청난 양의 부스러기를 흩뿌린다. 그 부스러기가 혜성의 먼지꼬리를 이루게 되는데, 그 가운데 고체 부스러기들이 유성체가 된다. 이 유성체들은 혜성의 궤도를 따라 띠를 형성하게 되는데, 이것을 유성체흐름이라고 한다. 따라서 각 혜성은 유성체의 흐름을 형성하며, 유성체 흐름을 만드는 혜성을 모혜성이라고 한다. 특히 여러 차례 근일점을 통과하는 주기혜성들은 짙은 유성체 흐름을 형성한다.
지구가 공전하다가 이러한 유성체 흐름을 관통할 때면 많은 유성들이 한 점으로부터 뻗어 나오는 것처럼 보이게 되는데, 이것을 유성우라 하고, 그 한 점을 복사점이라 한다. 복사점은 지구와 유성체 흐름의 상대적인 운동 성분에 따라 결정되며, 그 복사점이 위치한 별자리에 따라 유성우의 이름을 짓는다. 즉 복사점이 오리온자리에 있는 유성우는 오리온자리 유성우라고 부르는 것이다.",오리온자리유성우.jpg,
부분 월식,10/29 AM 04:34,밤하늘,"지구가 태양 주변을 공전하고 있고, 달이 지구 주변을 공전하고 있을 때 이들이 태양 - 지구 - 달 순서대로 일직선 상이 배열이 되는 보름날에는 달이 지구 그림자에 가려지는 월식(달이 먹힘)현상이 관측된다. 하지만 달이 공전하는 궤도가 지구가 공전하는 궤도보다 5도 정도 삐딱하게 기울어져 있기 때문에 항상 월식이 관측되진 않는다. 즉, 월식은 언제나 보름달이 뜰 때에 일어나지만, 그 역은 성립하지 않는다.
태양이 아주 크고 지구가 작기 때문에 지구 그림자에는 본영과 반영이 존재하게 되는데, 본영에 달이 들어가는 경우에는 개기 월식 또는 부분 월식이 발생하고 반영을 지나가게 될 때는 반영 월식이 발생한다. 일식의 경우에는 특정한 지역에서만 관측할 수 있지만, 개기 월식의 경우에는 지구의 그림자에 의해 달이 가려지는 것을 보는 것이기 때문에, 개기 월식이 일어난다고 가정한다면 지구에서 밤이 되는 지역이라면 어디서든지 볼 수 있어 일식보다는 훨씬 자주 볼 수 있다. 게다가 지속시간은 1시간 40분 정도로 일식에 비해서 관찰되는 시간이 상당히 길다는 점도 있다.
궤도의 특성상 일식이 발생한 후 월식이 발생하거나, 월식이 발생한 후에 일식이 발생하는 형태로 서로 연관성이 있다.
월식은 위성이 존재하는 행성이나 소행성에서는 언제든지 관측할 수 있는 현상이다. 물론 천왕성 같이 위성의 공전 궤도가 황도면에 대하여 수직이거나 수직에 가까운 천체 등은 보기 힘든 만큼은 예외다.",월식.jpg,
목성 관측 ,11/3 PM,밤하늘,"목성은 태양계의 다섯번째 행성이자 가장 큰 행성이다. 태양의 질량의 1,000분의 1배에 달하는 거대행성으로, 태양계에 있는 다른 모든 행성들을 합한 질량의 약 2.5배에 이른다. 목성은 토성과 마찬가지로 거대 기체 행성이다(천왕성과 해왕성은 거대얼음행성). 목성은 고대 천문학자들에게도 잘 알려져 있었는데, 로마인들은 목성에 로마 신화의 신인 유피테르의 이름을 붙였다. 동양에서 목성의 명칭은 오행 중 하나인 나무(木)에서 유래되었다. 신화에서는 세성(歲星)이라고도 불렀다. 목성은 지구에서 봤을 때 겉보기등급이 -2.94에 이르기 때문에, 반사광이 그림자를 형성하기에 충분할 정도로 밝다. 그래서 목성은 밤하늘에서 평균적으로 달과 금성 다음, 즉 세번째로 가장 밝은 천체에 해당한다.",목성충.jpg,
쌍둥이자리 유성우 극대기,12/15 AM 04:02,밤하늘,"쌍둥이자리 유성우는 1월 사분의자리 유성우, 8월 페르세우스자리 유성우와 함께 매년 관측가능한 3대 유성우 중 하나로 알려져 있다. 별똥별이라는 이름으로 더 잘 알려진 유성은 혜성이나 소행성에서 부서진 잔해가 지구 대기권과 충돌하면서 마찰열로 인해 밝게 빛나는 것을 말한다. 큰 덩어리는 미처 다 타지 못한 채 지상으로 떨어지기도 하는데, 이것을 운석이라 한다. 유성우는 평상시보다 많은 유성이 집중적으로 떨어질 때를 말한다. 
쌍둥이자리 유성우는 소행성 ‘3200 파에톤’이 태양 중력에 의해 부서지고 그로 인한 잔해가 만들어내는 천체현상이다. 쌍둥이자리 방향에서 퍼져나오는 것처럼 보이기 때문에 쌍둥이자리 유성우라는 이름을 얻었다. 파에톤은 1983년 10월 영국 천문학자 사이먼 그린과 존 데이비스가 적외선 천문위성 ‘아이라스’ 관측영상을 분석하다가 우연히 발견한 것으로, 인공위성으로 찾은 첫 소행성으로 기록됐다.
하지만 알려진 기록에 따르면 쌍둥이자리 유성우의 역사는  거의 200년을 거슬러올라간다. 최초의 기록된 관측은 1833년 미시시피 강의 강 보트에서 이루어졌지만, 지금까지 여전히 유성우로서의 위력을 잃지 않고 있다. 오히려  그것은 더 강해지고 있는데,  목성의 중력이 수세기 동안 소행성 파에톤에서 나오는 입자의 흐름을 지구 쪽으로 끌어당겼기 때문이다.
",쌍둥이자리.jpg,
